GeneName	rank
H4C3	-1.26566965445707
YWHAH	-1.26458495741681
ELL2	-1.26248893972276
HM13	-1.24328392883985
COX7A2	-1.23910768221255
DTYMK	-1.2307078672033
COPE	-1.2240713241406
MS4A4A	-1.21386541604697
MAP1B	-1.21142677874136
GNG11	-1.20729819034459
SPTB	-1.19480862248999
CENPM	-1.18535512566466
IGKV2D-29	-1.18123576654543
ZNHIT1	-1.16195236530542
S100A9	-1.15792483553058
CYBA	-1.15684636253978
MPP1	-1.15117634733065
FANCI	-1.14599016112947
POLR2L	-1.13890025925472
NT5M	-1.13776386008847
LAPTM4B	-1.1355122124027
OSBP2	-1.13443847955631
PEAR1	-1.13312028148294
ATP5PD	-1.13209344115846
ITGB5	-1.13027716903313
TUBA1B	-1.10202150113819
IGHV4-55	-1.10168095462982
TGFB1I1	-1.09165187396635
SH3TC2	-1.08786151232912
NOP10	-1.08389814268956
PLAC8	-1.08270870493822
GMPPB	-1.07485662734793
RAC1	-1.06595746429939
CLPP	-1.06447553702848
CFL1	-1.04885841938916
ESAM	-1.04398639861622
CALM3	-1.0427875317355
GATA1	-1.04077091743142
ERO1A	-1.03935726411808
ANAPC11	-1.03710405556638
KDELR1	-1.0363021732127
TMED3	-1.03588914251497
H2AZ2	-1.03523037252829
MCM7	-1.03086900323107
PPARG	-1.01975104543745
TOX2	-1.01893921657404
GP6	-0.983385588123755
OSTC	-0.97390463994852
RSU1	-0.966288672767867
FAXDC2	-0.965482073752443
MMRN1	-0.961490809484391
TMCC2	-0.959122393960662
DBI	-0.956314515927518
ACRBP	-0.939306714860945
CRAT	-0.932142673801258
BSG	-0.91602597061648
CD109	-0.913592257127947
SPATS2L	-0.904606287524882
MPL	-0.899553546338003
FDPS	-0.894162091363242
HMBS	-0.894075964381043
MYL6B	-0.884568937773653
TUBB	-0.882459312404466
SLC2A5	-0.858008337721925
WASF1	-0.85584093500237
BRCA2	-0.838821849056976
TMEM40	-0.825675589447527
MYLK	-0.815881173417596
ACTG1	-0.808593625344942
GNG5	-0.806135305849037
IGHV2-26	-0.80040630557236
SCD	-0.796497619122934
IGHG2	-0.791995722177213
ATP5PF	-0.779109988174449
CALU	-0.777789797013527
IGHM	-0.777095712009644
PDE2A	-0.76960495883377
CTTN	-0.765845208362705
KLF1	-0.750554308451254
CD99	-0.745346080155982
TMEM255B	-0.745022521851965
PSMD14	-0.740524470471329
LINC02284	-0.73689375178436
FIBP	-0.729496346253691
LTBP1	-0.728334522838421
TPM3	-0.714751051922703
GSTO1	-0.713472771366502
AKIP1	-0.698953397296627
RHOBTB1	-0.697666948930751
TP53I3	-0.694976665068746
RAB34	-0.692358630910176
RRAS	-0.687478687786335
TFPI	-0.685907235612703
SNRPA	-0.672702984996863
CHAF1A	-0.672348966967218
CBWD1	-0.667336506538257
SLC25A37	-0.663147224098437
CDCA7	-0.65894816457736
EZH2	-0.658197984795268
IGLV1-36	-0.655469954747017
LCN2	-0.651283219831659
PDLIM7	-0.651220117663575
SRM	-0.648859818895764
IGHV3-13	-0.640512187887185
H2AC20	-0.638850495239375
RIPOR3	-0.637679166600372
C1QA	-0.631947072072254
GP1BA	-0.611761064151782
BEX3	-0.605513434243969
SNRPD1	-0.604604540040647
H4C8	-0.604450163601309
LDHA	-0.603418000441958
SIAE	-0.603398057336727
CAVIN2	-0.601017393967975
MLEC	-0.593437393435818
UQCRFS1	-0.590664871086453
PARPBP	-0.586146649329921
NDUFA6	-0.585696322165769
NDUFB11	-0.577502376035676
RGS6	-0.57525850538311
PDLIM1	-0.573855484643557
P4HB	-0.573404561924014
ATP5MPL	-0.564497300429916
ANKRD9	-0.560895883007998
EMP3	-0.553757833843063
TNS1	-0.552187970292384
COMMD7	-0.549312230300858
ELOB	-0.547802711548473
SNF8	-0.547689900881197
TUBA1C	-0.547180313592483
MMD	-0.547063881668285
SIGLEC11	-0.544464468848369
TCF19	-0.543497209872115
OST4	-0.5429227425135
PCSK6	-0.540293353338375
RMI2	-0.539623056114191
ID2	-0.534048984472061
MAD2L2	-0.533654146769614
JOSD2	-0.53076728824715
BLVRB	-0.530718719030749
H4C9	-0.530333920576867
SMIM5	-0.520502432709255
MZT2B	-0.518120350360794
ATP5MD	-0.50590586451127
SPOCD1	-0.502825643771108
NDUFA3	-0.49984206523972
CD59	-0.499187973161209
RCC1	-0.498325305720904
C2orf88	-0.494340596715439
HIGD1A	-0.488666831867413
CALR	-0.467091301617867
LY96	-0.461671284416872
IGF2BP3	-0.46090382716058
LANCL3	-0.459739308524802
GFI1B	-0.454443821513796
R3HDM4	-0.442047446161223
PTCRA	-0.441677594045259
POU2AF1	-0.437792465829541
ANXA2	-0.434774432267005
SGO1	-0.430411425771385
POLDIP2	-0.422861997848502
ATP6V0B	-0.418270817514834
GMNN	-0.410207791904773
ARHGAP6	-0.405270174551303
DPM2	-0.390589575185483
CTSD	-0.383869787465594
ARF1	-0.380455033901937
TIMELESS	-0.369871984038012
CCNF	-0.361362831885581
TIMM17B	-0.353346749572039
PROS1	-0.352571085774378
SELENOS	-0.350677193975981
MIR22HG	-0.340568169970636
ANXA4	-0.340533692309807
TUBB1	-0.335162613012276
TRAPPC1	-0.331908036821611
SEM1	-0.330497385870135
NDUFAB1	-0.328506050845079
PCNA	-0.32737625179063
SLC24A3	-0.326481035106604
F13A1	-0.322476291743497
GPX1	-0.320009870167097
IGHV3-73	-0.319920443658241
PSMB1	-0.318158616094226
EIF2AK1	-0.317372364152006
XACT	-0.316515383352367
SH3BGRL2	-0.316365927193171
HELLPAR	-0.310586220110171
GADD45GIP1	-0.307151547569129
SLC25A39	-0.299647944224188
SHMT2	-0.299235290739495
H2AC8	-0.296423289163454
IGHG4	-0.292791177665523
SPHK1	-0.290239862356611
PFDN1	-0.286471969519169
H2BC9	-0.28637250038947
MTPN	-0.273913172872163
ACAT1	-0.265660752299512
DESI1	-0.261844132885614
LMAN1	-0.259009323378578
NUTF2	-0.257398404072643
PPP1R14B	-0.256738441695389
SEC13	-0.243450982061242
COX7B	-0.233064572008552
ALOX12	-0.230529486250809
STRIP2	-0.230036372275876
IGKV2-29	-0.226839536170289
C1QBP	-0.226788837411477
FN1	-0.226778456326131
KIAA0895L	-0.226132758273075
PTGS1	-0.225776671475878
NDUFA4	-0.22367662725929
EHD3	-0.220358339711193
SMTN	-0.215089040400376
DNAJC15	-0.211454463989424
CCR1	-0.20904877073174
VAMP5	-0.201679566732966
ENO1	-0.193671560686952
SDHB	-0.192901720453561
CENPN	-0.188430781638571
IDH2	-0.186367127200152
TMEM106C	-0.183453342382688
VDAC1	-0.182723205188756
HMGN2	-0.182680607049383
FCGR1A	-0.181629318028789
CDKN2D	-0.176775153287433
MTX1	-0.172937715780638
LAMTOR2	-0.170208761689889
